账号类型,视频播放量,剧集播放量,广告收益,万播收益,分组,名称
二创,613159.0,248513,561.78,22.605658456499256,账号类型,
原创,695423.0,695423,1154.61,16.602988396990032,账号类型,
二创,,237971,483.48,20.316761286039057,单个账号,飞姐漫剧推荐
二创,,10542,78.3,74.2743312464428,单个账号,馒头动漫短剧场
原创,,512470,877.73,17.127441606337932,单个账号,南瓜动漫短剧场
原创,,182953,276.88,15.133941504102147,单个账号,香蕉轻漫剧场
