账号类型,视频播放量,剧集播放量,广告收益,万播收益,账号
二创,180737,42013,151.98999999999998,36.17689762692499,香蕉
原创,182953,182953,276.88,15.133941504102147,香蕉
二创,295648,98061,238.0,24.2706070711088,南瓜
原创,958335,719360,1292.2,17.96318950177936,南瓜
